open,high,low,close,volume,vwap,timestamp,transactions,otc,ny_timestamp
231.05,231.05,231.05,231.05,1093.0,231.0459,1756383360000,13,,2025-08-28 08:16:00-04:00
231.05,231.05,230.94,230.94,1632.0,231.0236,1756383420000,25,,2025-08-28 08:17:00-04:00
230.9203,230.9203,230.9203,230.9203,164.0,230.9277,1756383480000,7,,2025-08-28 08:18:00-04:00
230.92,230.92,230.92,230.92,742.0,230.9191,1756383600000,48,,2025-08-28 08:20:00-04:00
230.9589,230.9598,230.93,230.9598,1716.0,230.9443,1756383660000,21,,2025-08-28 08:21:00-04:00
230.96,231.0,230.95,231.0,928.0,230.9661,1756383720000,25,,2025-08-28 08:22:00-04:00
231.09,231.09,231.09,231.09,204.0,231.044,1756383840000,7,,2025-08-28 08:24:00-04:00
230.94,230.94,230.94,230.94,553.0,230.9417,1756383960000,17,,2025-08-28 08:26:00-04:00
230.9986,231.0,230.95,231.0,1461.0,230.9915,1756384020000,16,,2025-08-28 08:27:00-04:00
230.97,230.97,230.97,230.97,471.0,230.9623,1756384080000,19,,2025-08-28 08:28:00-04:00
230.92,231.0,230.9,231.0,1294.0,230.9279,1756384140000,34,,2025-08-28 08:29:00-04:00
231.0,231.0,231.0,231.0,5201.0,230.5284,1756384200000,34,,2025-08-28 08:30:00-04:00
230.99,231.0999,230.99,231.06,2750.0,231.043,1756384260000,93,,2025-08-28 08:31:00-04:00
230.96,231.0,230.96,231.0,906.0,230.9921,1756384320000,41,,2025-08-28 08:32:00-04:00
231.02,231.04,231.0,231.02,2201.0,231.0204,1756384380000,61,,2025-08-28 08:33:00-04:00
231.25,231.25,231.01,231.01,1413.0,231.0488,1756384440000,51,,2025-08-28 08:34:00-04:00
231.25,231.25,230.9679,230.9679,816.0,231.0853,1756384500000,27,,2025-08-28 08:35:00-04:00
231.0899,231.09,231.03,231.03,626.0,231.0654,1756384620000,18,,2025-08-28 08:37:00-04:00
231.0,231.07,230.93,230.95,1996.0,230.9725,1756384680000,70,,2025-08-28 08:38:00-04:00
230.93,231.12,230.91,231.07,4070.0,230.9599,1756384740000,92,,2025-08-28 08:39:00-04:00
230.99,231.0,230.99,231.0,665.0,231.0219,1756384800000,25,,2025-08-28 08:40:00-04:00
231.13,231.25,231.13,231.249,1380.0,231.1981,1756384860000,40,,2025-08-28 08:41:00-04:00
231.0225,231.0225,231.0225,231.0225,274.0,231.0702,1756384920000,19,,2025-08-28 08:42:00-04:00
231.2,231.2,231.07,231.07,1409.0,231.0873,1756385040000,35,,2025-08-28 08:44:00-04:00
231.0115,231.03,231.0115,231.03,1850.0,231.0263,1756385100000,48,,2025-08-28 08:45:00-04:00
231.01,231.01,230.94,230.95,7255.0,230.9898,1756385160000,79,,2025-08-28 08:46:00-04:00
230.98,230.98,230.98,230.98,298.0,231.0226,1756385220000,12,,2025-08-28 08:47:00-04:00
230.95,230.95,230.95,230.95,408.0,230.9554,1756385280000,14,,2025-08-28 08:48:00-04:00
